WIDTH (in.),HEIGHT (in.),area (sq.in.),AREA (sq.ft.),COST ($)
18,18,324,2.25,
18,20,360,2.5,
18,24,432,3,188
18,30,540,3.75,214.7666667
18,36,648,4.5,241.5333333
18,42,756,5.25,268.3
18,48,864,6,295.0666667
18,54,972,6.75,321.8333333
18,60,1080,7.5,348.6
18,66,1188,8.25,375.3666667
18,72,1296,9,402.1333333
18,78,1404,9.75,428.9
18,84,1512,10.5,455.6666667
20,18,360,2.5,
20,20,400,2.777777778,
20,24,480,3.333333333,199.4
20,30,600,4.166666667,226.1666667
20,36,720,5,252.9333333
20,42,840,5.833333333,279.7
20,48,960,6.666666667,306.4666667
20,54,1080,7.5,333.2333333
20,60,1200,8.333333333,360
20,66,1320,9.166666667,386.7666667
20,72,1440,10,413.5333333
20,78,1560,10.83333333,440.3
20,84,1680,11.66666667,467.0666667
24,18,432,3,157.2666667
24,20,480,3.333333333,184.0333333
24,24,576,4,210.8
24,30,720,5,237.5666667
24,36,864,6,264.3333333
24,42,1008,7,291.1
24,48,1152,8,317.8666667
24,54,1296,9,344.6333333
24,60,1440,10,371.4
24,66,1584,11,398.1666667
24,72,1728,12,424.9333333
24,78,1872,13,451.7
24,84,2016,14,478.4666667
28,18,504,3.5,168.6666667
28,20,560,3.888888889,195.4333333
28,24,672,4.666666667,222.2
28,30,840,5.833333333,248.9666667
28,36,1008,7,275.7333333
28,42,1176,8.166666667,302.5
28,48,1344,9.333333333,329.2666667
28,54,1512,10.5,356.0333333
28,60,1680,11.66666667,382.8
28,66,1848,12.83333333,409.5666667
28,72,2016,14,436.3333333
28,78,2184,15.16666667,463.1
28,84,2352,16.33333333,489.8666667
30,18,540,3.75,180.0666667
30,20,600,4.166666667,206.8333333
30,24,720,5,233.6
30,30,900,6.25,260.3666667
30,36,1080,7.5,287.1333333
30,42,1260,8.75,313.9
30,48,1440,10,340.6666667
30,54,1620,11.25,367.4333333
30,60,1800,12.5,394.2
30,66,1980,13.75,420.9666667
30,72,2160,15,447.7333333
30,78,2340,16.25,474.5
30,84,2520,17.5,501.2666667
32,18,576,4,191.4666667
32,20,640,4.444444444,218.2333333
32,24,768,5.333333333,245
32,30,960,6.666666667,271.7666667
32,36,1152,8,298.5333333
32,42,1344,9.333333333,325.3
32,48,1536,10.66666667,352.0666667
32,54,1728,12,378.8333333
32,60,1920,13.33333333,405.6
32,66,2112,14.66666667,432.3666667
32,72,2304,16,459.1333333
32,78,2496,17.33333333,485.9
32,84,2688,18.66666667,512.6666667
36,18,648,4.5,202.8666667
36,20,720,5,229.6333333
36,24,864,6,256.4
36,30,1080,7.5,283.1666667
36,36,1296,9,309.9333333
36,42,1512,10.5,336.7
36,48,1728,12,363.4666667
36,54,1944,13.5,390.2333333
36,60,2160,15,417
36,66,2376,16.5,443.7666667
36,72,2592,18,470.5333333
36,78,2808,19.5,497.3
36,84,3024,21,524.0666667
42,18,756,5.25,214.2666667
42,20,840,5.833333333,241.0333333
42,24,1008,7,267.8
42,30,1260,8.75,294.5666667
42,36,1512,10.5,321.3333333
42,42,1764,12.25,348.1
42,48,2016,14,374.8666667
42,54,2268,15.75,401.6333333
42,60,2520,17.5,428.4
42,66,2772,19.25,455.1666667
42,72,3024,21,481.9333333
42,78,3276,22.75,508.7
42,84,3528,24.5,535.4666667
48,18,864,6,225.6666667
48,20,960,6.666666667,252.4333333
48,24,1152,8,279.2
48,30,1440,10,305.9666667
48,36,1728,12,332.7333333
48,42,2016,14,359.5
48,48,2304,16,386.2666667
48,54,2592,18,413.0333333
48,60,2880,20,439.8
48,66,3168,22,466.5666667
48,72,3456,24,493.3333333
48,78,3744,26,520.1
48,84,4032,28,546.8666667
54,18,972,6.75,237.0666667
54,20,1080,7.5,263.8333333
54,24,1296,9,290.6
54,30,1620,11.25,317.3666667
54,36,1944,13.5,344.1333333
54,42,2268,15.75,370.9
54,48,2592,18,397.6666667
54,54,2916,20.25,424.4333333
54,60,3240,22.5,451.2
54,66,3564,24.75,477.9666667
54,72,3888,27,504.7333333
54,78,4212,29.25,531.5
54,84,4536,31.5,558.2666667
60,18,1080,7.5,248.4666667
60,20,1200,8.333333333,275.2333333
60,24,1440,10,302
60,30,1800,12.5,328.7666667
60,36,2160,15,355.5333333
60,42,2520,17.5,382.3
60,48,2880,20,409.0666667
60,54,3240,22.5,435.8333333
60,60,3600,25,462.6
60,66,3960,27.5,489.3666667
60,72,4320,30,516.1333333
60,78,4680,32.5,542.9
60,84,5040,35,569.6666667
72,18,1296,9,
72,20,1440,10,
72,24,1728,12,
72,30,2160,15,
72,36,2592,18,366.9333333
72,42,3024,21,393.7
72,48,3456,24,420.4666667
72,54,3888,27,447.2333333
72,60,4320,30,474
72,66,4752,33,500.7666667
72,72,5184,36,527.5333333
72,78,5616,39,554.3
72,84,6048,42,581.0666667
